id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,4,UI0103,R***o,5,"selalu puas beli di GGS, dari dulu kalau beli peripheral PC emang yang paling bener itu di GGS karena selalu dapet barang yang original dan ga pernah ada cacat, seller sa...",1 bulan lalu,Varian: MJ01
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,5,UI0104,Gerin,5,mantapp,1 bulan lalu,Varian: MJ03
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,6,UI0105,F***y,5,barang bagus.. kualitas sesuai harga,2 bulan lalu,Varian: MJ02
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,7,UI0106,MRAdelani,5,"Mantab, bahan lumayan kasar, enak untuk kontrol mouse saat gaming",2 bulan lalu,Varian: MJ03
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,8,UI0107,Zaidan,5,worth the price buat diharga under 100k,4 bulan lalu,Varian: MJ02
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,9,UI0053,M***d,4,seepppp,5 bulan lalu,Varian: MJ03
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,10,UI0105,F***y,5,untuk kualitas bahan enak dipake dan ada antislip dibelakangnya. cuma sayang ada bekas lipatan jd ga rata.,5 bulan lalu,Varian: MJ01
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,11,UI0050,Mario,5,Gokil cepet banget sampenya. Order kemaren malem tadi siang sampe! Surprisingly qualitasnya good. Bahan mirip sma pulsar paracontrol bahkan hampir ga ada beda dgn harga y...,6 bulan lalu,Varian: MJ02
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,12,UI0108,L***y,5,"Enak banget, cocok untuk yang suka tipe control tapi masih tetep bisa flick. Mousepad, keyboard, mouse, aviator semuanya beli di GGS. Mau offline atau online pelayanann...",6 bulan lalu,Varian: MJ03
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,13,UI0051,Kevin,5,"Kontrol nya bagus, berasa lebih balanced make ini terutama buat wrist aiming 👍",7 bulan lalu,Varian: MJ02
